iter	Passed	Remaining
0	163	163210
1	231	115313
2	296	98511
3	366	91239
4	437	86964
5	505	83807
6	587	83302
7	632	78444
8	694	76515
9	763	75599
10	826	74337
11	876	72164
12	941	71461
13	998	70336
14	1063	69835
15	1124	69154
16	1182	68393
17	1250	68237
18	1317	68036
19	1383	67802
20	1445	67372
21	1507	67019
22	1583	67278
23	1644	66890
24	1706	66559
25	1779	66671
26	1862	67125
27	1933	67104
28	2026	67852
29	2073	67039
30	2126	66468
31	2168	65584
32	2218	65010
33	2271	64534
34	2335	64388
35	2399	64249
36	2466	64207
37	2521	63828
38	2580	63586
39	2638	63324
40	2686	62839
41	2732	62332
42	2790	62104
43	2844	61805
44	2894	61430
45	2950	61193
46	3006	60951
47	3060	60690
48	3109	60353
49	3161	60070
50	3214	59821
51	3270	59615
52	3326	59445
53	3380	59225
54	3437	59066
55	3504	59083
56	3556	58837
57	3605	58565
58	3685	58786
59	3737	58547
60	3787	58307
61	3835	58033
62	3886	57802
63	3939	57620
64	3988	57374
65	4040	57177
66	4090	56955
67	4145	56817
68	4193	56578
69	4242	56358
70	4293	56178
71	4338	55916
72	4386	55704
73	4439	55553
74	4507	55592
75	4556	55399
76	4603	55185
77	4645	54916
78	4675	54506
79	4740	54515
80	4788	54329
81	4836	54147
82	4885	53974
83	4938	53847
84	4989	53712
85	5058	53756
86	5116	53691
87	5178	53672
88	5237	53608
89	5291	53504
90	5357	53511
91	5435	53642
92	5489	53538
93	5535	53353
94	5585	53206
95	5638	53095
96	5689	52964
97	5760	53016
98	5820	52971
99	5868	52813
100	5919	52691
101	5980	52649
102	6026	52487
103	6068	52283
104	6115	52126
105	6168	52025
106	6217	51887
107	6276	51836
108	6330	51748
109	6383	51644
110	6477	51879
111	6528	51759
112	6578	51636
113	6622	51466
114	6669	51328
115	6711	51145
116	6758	51010
117	6804	50857
118	6858	50777
119	6920	50753
120	6982	50721
121	7023	50547
122	7090	50554
123	7138	50432
124	7203	50421
125	7266	50404
126	7338	50441
127	7392	50361
128	7438	50224
129	7504	50220
130	7524	49912
131	7584	49872
132	7633	49758
133	7685	49665
134	7731	49541
135	7794	49517
136	7851	49457
137	7894	49314
138	7938	49172
139	7989	49078
140	8044	49009
141	8090	48883
142	8139	48782
143	8193	48703
144	8239	48586
145	8291	48497
146	8338	48388
147	8392	48311
148	8439	48203
149	8492	48122
150	8538	48005
151	8584	47893
152	8629	47773
153	8673	47650
154	8724	47560
155	8769	47445
156	8824	47381
157	8871	47275
158	8900	47078
159	8954	47011
160	8998	46891
161	9050	46818
162	9098	46718
163	9140	46596
164	9184	46479
165	9202	46234
166	9270	46241
167	9297	46044
168	9347	45962
169	9408	45936
170	9464	45885
171	9507	45770
172	9558	45691
173	9615	45647
174	9659	45535
175	9708	45453
176	9755	45361
177	9801	45263
178	9845	45157
179	9895	45077
180	9939	44974
181	9992	44912
182	10039	44822
183	10083	44719
184	10133	44644
185	10183	44566
186	10207	44378
187	10264	44334
188	10305	44220
189	10354	44140
190	10403	44065
191	10451	43982
192	10505	43928
193	10550	43835
194	10595	43742
195	10645	43667
196	10693	43586
197	10741	43506
198	10794	43451
199	10843	43372
200	10894	43306
201	10951	43262
202	11000	43188
203	11049	43116
204	11094	43026
205	11143	42951
206	11189	42867
207	11237	42789
208	11291	42734
209	11344	42675
210	11389	42588
211	11438	42514
212	11494	42470
213	11541	42391
214	11588	42313
215	11635	42234
216	11685	42163
217	11733	42088
218	11785	42029
219	11834	41958
220	11884	41891
221	11928	41801
222	11977	41732
223	12030	41676
224	12078	41602
225	12129	41540
226	12177	41469
227	12234	41425
228	12281	41350
229	12328	41273
230	12381	41219
231	12426	41136
232	12472	41057
233	12517	40977
234	12544	40837
235	12598	40783
236	12645	40709
237	12690	40631
238	12733	40543
239	12785	40488
240	12839	40436
241	12884	40357
242	12934	40294
243	12987	40241
244	13031	40159
245	13084	40104
246	13136	40047
247	13183	39975
248	13233	39912
249	13282	39846
250	13332	39785
251	13386	39735
252	13444	39695
253	13502	39657
254	13552	39593
255	13605	39539
256	13648	39458
257	13692	39379
258	13739	39310
259	13795	39263
260	13845	39202
261	13899	39153
262	13949	39089
263	13999	39027
264	14047	38962
265	14099	38906
266	14146	38836
267	14198	38781
268	14246	38714
269	14293	38645
270	14362	38635
271	14411	38570
272	14460	38507
273	14510	38446
274	14561	38389
275	14609	38322
276	14658	38261
277	14706	38193
278	14749	38117
279	14795	38044
280	14842	37976
281	14901	37940
282	14949	37874
283	15002	37822
284	15049	37755
285	15088	37667
286	15135	37600
287	15204	37588
288	15288	37612
289	15383	37664
290	15456	37657
291	15498	37579
292	15555	37534
293	15607	37479
294	15679	37470
295	15747	37454
296	15833	37477
297	15919	37502
298	16003	37520
299	16078	37517
300	16143	37488
301	16211	37468
302	16323	37549
303	16445	37650
304	16499	37597
305	16544	37521
306	16602	37478
307	16650	37409
308	16691	37327
309	16748	37279
310	16800	37220
311	16863	37186
312	16919	37135
313	16979	37095
314	17034	37043
315	17087	36987
316	17152	36955
317	17204	36898
318	17249	36824
319	17302	36767
320	17376	36755
321	17446	36735
322	17499	36677
323	17557	36632
324	17627	36611
325	17683	36561
326	17736	36503
327	17794	36457
328	17856	36417
329	17915	36372
330	17960	36301
331	18026	36269
332	18076	36206
333	18152	36196
334	18205	36140
335	18275	36116
336	18342	36086
337	18401	36040
338	18444	35963
339	18504	35920
340	18559	35867
341	18624	35833
342	18686	35792
343	18739	35735
344	18802	35698
345	18861	35651
346	18910	35586
347	18964	35532
348	19020	35479
349	19067	35411
350	19126	35364
351	19180	35309
352	19233	35252
353	19299	35219
354	19360	35176
355	19418	35127
356	19482	35090
357	19528	35020
358	19585	34971
359	19646	34926
360	19708	34885
361	19757	34821
362	19816	34774
363	19878	34732
364	19945	34699
365	19990	34628
366	20049	34581
367	20103	34526
368	20158	34471
369	20209	34410
370	20254	34339
371	20299	34269
372	20356	34219
373	20412	34166
374	20463	34105
375	20517	34049
376	20564	33983
377	20614	33920
378	20668	33866
379	20723	33811
380	20785	33769
381	20839	33714
382	20895	33661
383	20942	33595
384	20990	33530
385	21039	33466
386	21094	33413
387	21153	33365
388	21208	33312
389	21260	33253
390	21350	33254
391	21406	33202
392	21472	33164
393	21529	33114
394	21579	33051
395	21630	32991
396	21676	32924
397	21724	32859
398	21779	32805
399	21840	32760
400	21891	32700
401	21937	32633
402	21985	32569
403	22038	32512
404	22088	32450
405	22142	32395
406	22192	32333
407	22249	32283
408	22308	32236
409	22366	32185
410	22416	32124
411	22464	32060
412	22515	32001
413	22567	31943
414	22630	31900
415	22685	31846
416	22751	31808
417	22810	31760
418	22853	31689
419	22901	31626
420	22967	31586
421	23025	31537
422	23104	31515
423	23149	31448
424	23211	31403
425	23260	31341
426	23313	31284
427	23391	31261
428	23443	31202
429	23509	31163
430	23559	31102
431	23639	31081
432	23692	31024
433	23740	30961
434	23793	30904
435	23834	30831
436	23982	30897
437	24108	30933
438	24214	30943
439	24267	30885
440	24332	30843
441	24400	30804
442	24463	30759
443	24520	30705
444	24588	30666
445	24635	30601
446	24681	30533
447	24741	30484
448	24784	30414
449	24829	30347
450	24876	30281
451	24944	30242
452	24989	30174
453	25028	30100
454	25080	30041
455	25132	29982
456	25219	29965
457	25256	29888
458	25304	29824
459	25342	29749
460	25392	29689
461	25439	29624
462	25485	29558
463	25534	29496
464	25573	29423
465	25614	29352
466	25657	29283
467	25702	29217
468	25744	29147
469	25787	29079
470	25827	29007
471	25870	28940
472	25920	28879
473	25960	28808
474	26000	28737
475	26050	28677
476	26093	28610
477	26133	28538
478	26202	28499
479	26242	28429
480	26279	28355
481	26319	28284
482	26361	28217
483	26406	28152
484	26447	28083
485	26489	28016
486	26537	27954
487	26574	27881
488	26616	27813
489	26655	27743
490	26707	27686
491	26744	27614
492	26791	27552
493	26837	27488
494	26878	27422
495	26922	27356
496	26966	27291
497	27009	27226
498	27053	27162
499	27092	27092
500	27135	27027
501	27183	26966
502	27226	26901
503	27266	26833
504	27311	26771
505	27355	26706
506	27407	26650
507	27449	26585
508	27495	26522
509	27536	26457
510	27575	26388
511	27616	26322
512	27663	26261
513	27708	26198
514	27754	26137
515	27798	26074
516	27840	26009
517	27897	25958
518	27933	25888
519	27980	25827
520	28021	25762
521	28059	25694
522	28099	25627
523	28137	25559
524	28183	25499
525	28231	25440
526	28270	25373
527	28311	25308
528	28354	25245
529	28400	25185
530	28446	25125
531	28490	25062
532	28533	25000
533	28574	24936
534	28615	24871
535	28662	24812
536	28707	24751
537	28745	24684
538	28790	24624
539	28833	24562
540	28884	24506
541	28921	24438
542	28964	24376
543	29010	24317
544	29051	24254
545	29097	24194
546	29140	24132
547	29187	24074
548	29228	24011
549	29271	23949
550	29314	23887
551	29359	23827
552	29398	23763
553	29444	23704
554	29490	23645
555	29532	23583
556	29577	23524
557	29617	23460
558	29668	23405
559	29710	23343
560	29757	23286
561	29800	23225
562	29844	23164
563	29889	23105
564	29932	23045
565	29972	22982
566	30020	22925
567	30058	22861
568	30102	22801
569	30143	22740
570	30194	22685
571	30230	22620
572	30275	22561
573	30323	22504
574	30366	22445
575	30408	22383
576	30456	22327
577	30498	22267
578	30544	22209
579	30591	22152
580	30635	22093
581	30679	22034
582	30722	21974
583	30767	21916
584	30816	21861
585	30862	21804
586	30914	21750
587	30958	21692
588	31003	21633
589	31053	21579
590	31104	21525
591	31147	21466
592	31191	21408
593	31235	21349
594	31276	21289
595	31322	21231
596	31372	21177
597	31417	21120
598	31460	21061
599	31501	21001
600	31546	20943
601	31583	20881
602	31627	20822
603	31669	20763
604	31711	20704
605	31756	20647
606	31802	20590
607	31839	20528
608	31879	20468
609	31919	20407
610	31963	20350
611	32008	20292
612	32056	20237
613	32097	20178
614	32140	20120
615	32179	20060
616	32225	20003
617	32267	19945
618	32310	19887
619	32356	19831
620	32400	19774
621	32448	19719
622	32488	19659
623	32534	19604
624	32571	19542
625	32622	19489
626	32670	19435
627	32716	19379
628	32752	19318
629	32797	19262
630	32837	19202
631	32884	19147
632	32926	19090
633	32968	19032
634	33018	18979
635	33062	18922
636	33110	18868
637	33150	18809
638	33193	18752
639	33232	18693
640	33278	18638
641	33325	18583
642	33367	18525
643	33413	18470
644	33464	18418
645	33507	18361
646	33551	18305
647	33598	18250
648	33644	18196
649	33688	18140
650	33732	18083
651	33777	18028
652	33824	17974
653	33864	17916
654	33907	17859
655	33951	17803
656	33992	17746
657	34031	17688
658	34081	17635
659	34126	17580
660	34167	17523
661	34203	17463
662	34240	17404
663	34283	17348
664	34323	17290
665	34363	17233
666	34414	17181
667	34461	17127
668	34511	17075
669	34552	17018
670	34595	16962
671	34632	16904
672	34672	16846
673	34709	16788
674	34744	16729
675	34790	16674
676	34829	16617
677	34868	16559
678	34908	16502
679	34948	16446
680	35002	16396
681	35079	16356
682	35129	16304
683	35195	16259
684	35253	16211
685	35313	16163
686	35377	16118
687	35426	16065
688	35478	16014
689	35540	15967
690	35603	15921
691	35674	15878
692	35736	15831
693	35793	15782
694	35850	15733
695	35897	15679
696	35946	15626
697	35986	15570
698	36032	15516
699	36076	15461
700	36118	15405
701	36164	15351
702	36213	15299
703	36260	15245
704	36302	15190
705	36339	15132
706	36389	15080
707	36432	15026
708	36503	14982
709	36545	14927
710	36614	14882
711	36678	14836
712	36751	14793
713	36834	14754
714	36915	14714
715	36977	14667
716	37024	14613
717	37070	14559
718	37111	14503
719	37157	14450
720	37195	14393
721	37243	14340
722	37290	14286
723	37326	14229
724	37383	14180
725	37427	14125
726	37474	14072
727	37516	14017
728	37588	13973
729	37634	13919
730	37683	13866
731	37729	13813
732	37774	13759
733	37816	13704
734	37862	13651
735	37910	13598
736	37955	13544
737	38002	13491
738	38053	13439
739	38099	13386
740	38143	13332
741	38183	13276
742	38228	13222
743	38273	13169
744	38322	13117
745	38361	13061
746	38412	13009
747	38467	12959
748	38524	12909
749	38570	12856
750	38611	12802
751	38659	12749
752	38700	12694
753	38739	12639
754	38786	12586
755	38823	12530
756	38868	12476
757	38911	12423
758	38960	12370
759	39008	12318
760	39054	12265
761	39103	12213
762	39148	12160
763	39194	12107
764	39248	12056
765	39299	12005
766	39350	11953
767	39397	11901
768	39446	11849
769	39494	11797
770	39541	11744
771	39591	11692
772	39639	11640
773	39694	11590
774	39744	11538
775	39791	11486
776	39849	11436
777	39906	11387
778	39950	11333
779	39992	11279
780	40037	11226
781	40084	11174
782	40135	11123
783	40183	11071
784	40238	11020
785	40287	10968
786	40338	10917
787	40390	10866
788	40438	10814
789	40482	10761
790	40551	10714
791	40630	10670
792	40689	10621
793	40770	10577
794	40857	10535
795	40918	10486
796	40988	10440
797	41037	10387
798	41121	10344
799	41201	10300
800	41276	10254
801	41323	10202
802	41367	10148
803	41419	10097
804	41468	10045
805	41517	9993
806	41563	9940
807	41608	9887
808	41654	9834
809	41709	9783
810	41754	9730
811	41803	9678
812	41849	9625
813	41898	9573
814	41944	9521
815	41992	9468
816	42039	9416
817	42082	9363
818	42126	9310
819	42172	9257
820	42215	9204
821	42260	9151
822	42308	9099
823	42352	9046
824	42389	8991
825	42437	8939
826	42487	8888
827	42531	8834
828	42574	8781
829	42619	8729
830	42663	8676
831	42707	8623
832	42749	8570
833	42791	8517
834	42837	8464
835	42882	8412
836	42930	8360
837	42980	8308
838	43027	8256
839	43093	8208
840	43139	8155
841	43182	8103
842	43235	8052
843	43279	7999
844	43327	7947
845	43376	7895
846	43432	7845
847	43472	7792
848	43515	7739
849	43560	7687
850	43603	7634
851	43643	7581
852	43681	7527
853	43720	7474
854	43764	7421
855	43812	7370
856	43851	7317
857	43896	7264
858	43944	7213
859	44000	7162
860	44045	7110
861	44084	7057
862	44124	7004
863	44166	6952
864	44215	6900
865	44260	6848
866	44309	6797
867	44349	6744
868	44403	6693
869	44447	6641
870	44484	6588
871	44525	6535
872	44571	6484
873	44612	6431
874	44660	6380
875	44707	6328
876	44753	6276
877	44793	6224
878	44833	6171
879	44875	6119
880	44924	6068
881	44973	6016
882	45023	5965
883	45091	5916
884	45140	5865
885	45186	5814
886	45237	5763
887	45302	5713
888	45349	5662
889	45393	5610
890	45438	5558
891	45489	5507
892	45535	5456
893	45582	5404
894	45631	5353
895	45681	5302
896	45730	5251
897	45785	5200
898	45827	5148
899	45879	5097
900	45925	5046
901	45973	4994
902	46019	4943
903	46072	4892
904	46116	4840
905	46158	4789
906	46205	4737
907	46258	4686
908	46307	4635
909	46348	4583
910	46392	4532
911	46436	4480
912	46488	4429
913	46538	4378
914	46591	4328
915	46635	4276
916	46681	4225
917	46725	4173
918	46773	4122
919	46819	4071
920	46869	4020
921	46914	3968
922	46964	3917
923	47010	3866
924	47055	3815
925	47100	3763
926	47144	3712
927	47186	3661
928	47235	3610
929	47281	3558
930	47328	3507
931	47371	3456
932	47417	3405
933	47463	3353
934	47513	3303
935	47562	3252
936	47607	3200
937	47662	3150
938	47711	3099
939	47767	3049
940	47813	2997
941	47895	2948
942	47939	2897
943	47994	2847
944	48045	2796
945	48095	2745
946	48141	2694
947	48189	2643
948	48241	2592
949	48302	2542
950	48346	2491
951	48396	2440
952	48444	2389
953	48498	2338
954	48567	2288
955	48612	2237
956	48659	2186
957	48707	2135
958	48759	2084
959	48808	2033
960	48857	1982
961	48918	1932
962	48962	1881
963	49010	1830
964	49055	1779
965	49101	1728
966	49149	1677
967	49192	1626
968	49234	1575
969	49281	1524
970	49327	1473
971	49378	1422
972	49421	1371
973	49461	1320
974	49510	1269
975	49571	1218
976	49615	1168
977	49661	1117
978	49710	1066
979	49757	1015
980	49812	964
981	49864	914
982	49905	863
983	49944	812
984	49985	761
985	50026	710
986	50072	659
987	50112	608
988	50155	557
989	50213	507
990	50252	456
991	50306	405
992	50352	354
993	50406	304
994	50453	253
995	50509	202
996	50570	152
997	50616	101
998	50666	50
999	50712	0
